Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Publisher,Document Type,Source,clean_title,clean_doi,ex_VRP,ex_Human,ex_Heur,VRP_Subtopic,Human_Subtopic,Heur_Subtopic
"Anandha Prakash, P.; Radha, R.","Anandha Prakash, P. (59350905900); Radha, R. (56585529900)",59350905900; 56585529900,Optimization of electric vehicle routing: A multi-criteria intelligent decision framework for efficient and scalable mobility,2026,Energy Reports,15,,108912,,,0,10.1016/j.egyr.2025.12.049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024864648&doi=10.1016%2Fj.egyr.2025.12.049&partnerID=40&md5=fe364c35081ac08fd713080c8f644c17,"Vellore Institute of Technology, Chennai, Chennai, TN, India; Vellore Institute of Technology, Chennai, Chennai, TN, India","Anandha Prakash, P., Vellore Institute of Technology, Chennai, Chennai, TN, India; Radha, R., Vellore Institute of Technology, Chennai, Chennai, TN, India",Charging infrastructure; Electric vehicle routing; Fuzzy logic optimization; Multi-criteria decision making; Waiting time prediction,Elsevier Ltd,Article,Scopus,optimization of electric vehicle routing a multicriteria intelligent decision framework for efficient and scalable mobility,10.1016/j.egyr.2025.12.049,True,True,True,VRP T2,Human T3,Heur T4
"Maia, F.; Figueira, G.; Neves-Moreira, F.","Maia, Francisco (60332972700); Figueira, Gonçalo (55944433500); Neves-Moreira, Fábio (56595274600)",60332972700; 55944433500; 56595274600,Stochastic dynamic inventory-routing: A comprehensive review,2026,Computers and Operations Research,189,,107383,,,0,10.1016/j.cor.2026.107383,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027461499&doi=10.1016%2Fj.cor.2026.107383&partnerID=40&md5=700cd0f52ad82c052f1fed02bf2ecbea,"Universidade do Porto, Porto, Porto, Portugal; Universidade do Porto, Porto, Porto, Portugal","Maia, Francisco, Universidade do Porto, Porto, Porto, Portugal; Figueira, Gonçalo, Universidade do Porto, Porto, Porto, Portugal; Neves-Moreira, Fábio, Universidade do Porto, Porto, Porto, Portugal",Literature review; Machine learning; Sequential decision-making; Stochastic dynamic inventory-routing,Elsevier Ltd,Article,Scopus,stochastic dynamic inventoryrouting a comprehensive review,10.1016/j.cor.2026.107383,True,True,True,VRP T1,Human T3,Heur T2
"Guan, Q.; Cao, H.; Niu, T.; Jia, L.; Yan, D.; Chen, B.","Guan, Qingshu (57838314800); Cao, Hui (36707150800); Niu, Tiansen (57988173700); Jia, Linxin (35169755300); Yan, Dapeng (57190882205); Chen, Badong (58661309500)",57838314800; 36707150800; 57988173700; 35169755300; 57190882205; 58661309500,Heterogeneous attention-driven deep reinforcement learning for solving EVRPs with pickup-delivery and time windows,2026,Applied Energy,407,,127355,,,0,10.1016/j.apenergy.2026.127355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028880040&doi=10.1016%2Fj.apenergy.2026.127355&partnerID=40&md5=420d4f514027e031a8b2305df5188cb2,"School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Xi'an Jiaotong University, Xi'an, Shaanxi, China; Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, China","Guan, Qingshu, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Cao, Hui, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Niu, Tiansen, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Jia, Linxin, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Yan, Dapeng, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Chen, Badong, Xi'an Jiaotong University, Xi'an, Shaanxi, China, Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, China",Decision-making; Deep reinforcement learning; Electric vehicle routing problem; Energy consumption; Heterogeneous attention,Elsevier Ltd,Article,Scopus,heterogeneous attentiondriven deep reinforcement learning for solving evrps with pickupdelivery and time windows,10.1016/j.apenergy.2026.127355,True,True,True,VRP T2,Human T3,Heur T2
"Sun, Q.-C.; Li, J.-Q.; Chen, X.-L.; Yang, Z.-Z.; Wang, Y.-N.; Du, Z.-S.; Wei, L.","Sun, Qi Chao (60176884400); Li, Junqing (55720647100); Chen, Xiaolong (57218603757); Yang, Zhongzhi (60043070800); Wang, Yanan (60042685500); Du, Zhaosheng (59426280200); Wei, Li (60176978600)",60176884400; 55720647100; 57218603757; 60043070800; 60042685500; 59426280200; 60176978600,Solving electric vehicle routing problem with recharging and battery swapping using a collaborative decision attention network,2026,Expert Systems with Applications,299,,130116,,,0,10.1016/j.eswa.2025.130116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020731290&doi=10.1016%2Fj.eswa.2025.130116&partnerID=40&md5=7bfdadd396b54759c3a505836dc1e575,"School of Information Science and Engineering, Shandong Normal University, Jinan, Shandong, China; Yunnan Key Laboratory of Modern Analytical Mathematics and Applications, Yunnan Normal University, Chenggong, Yunnan, China","Sun, Qi Chao, School of Information Science and Engineering, Shandong Normal University, Jinan, Shandong, China; Li, Junqing, Yunnan Key Laboratory of Modern Analytical Mathematics and Applications, Yunnan Normal University, Chenggong, Yunnan, China; Chen, Xiaolong, Yunnan Key Laboratory of Modern Analytical Mathematics and Applications, Yunnan Normal University, Chenggong, Yunnan, China; Yang, Zhongzhi, Yunnan Key Laboratory of Modern Analytical Mathematics and Applications, Yunnan Normal University, Chenggong, Yunnan, China; Wang, Yanan, Yunnan Key Laboratory of Modern Analytical Mathematics and Applications, Yunnan Normal University, Chenggong, Yunnan, China; Du, Zhaosheng, Yunnan Key Laboratory of Modern Analytical Mathematics and Applications, Yunnan Normal University, Chenggong, Yunnan, China; Wei, Li, Yunnan Key Laboratory of Modern Analytical Mathematics and Applications, Yunnan Normal University, Chenggong, Yunnan, China",Collaborative decision attention network; Deep reinforcement learning; Dual-attention decoder; Electric vehicle routing problem,Elsevier Ltd,Article,Scopus,solving electric vehicle routing problem with recharging and battery swapping using a collaborative decision attention network,10.1016/j.eswa.2025.130116,True,True,True,VRP T2,Human T3,Heur T2
"Chu, D.-T.; Cheng, X.-Y.; Bai, L.-Y.; Ling, H.-F.","Chu, De Tian (59326530700); Cheng, Xinyu (60353476600); Bai, Linyuan (57219703786); Ling, Haifeng (57196368132)",59326530700; 60353476600; 57219703786; 57196368132,MCAH-ACO: A Multi-Criteria Adaptive Hybrid Ant Colony Optimization for Last-Mile Delivery Vehicle Routing,2026,Sensors,26,2,401,,,0,10.3390/s26020401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028746547&doi=10.3390%2Fs26020401&partnerID=40&md5=4b1458bd44d4e583fef74b9521cfb7b2,"College of Field Engineering, Peoples Liberation Army Engineering University, Nanjing, Jiangsu, China","Chu, De Tian, College of Field Engineering, Peoples Liberation Army Engineering University, Nanjing, Jiangsu, China; Cheng, Xinyu, College of Field Engineering, Peoples Liberation Army Engineering University, Nanjing, Jiangsu, China; Bai, Linyuan, College of Field Engineering, Peoples Liberation Army Engineering University, Nanjing, Jiangsu, China; Ling, Haifeng, College of Field Engineering, Peoples Liberation Army Engineering University, Nanjing, Jiangsu, China",adaptive hybrid algorithm; ant colony optimization; last-mile delivery; multi-criteria optimization; vehicle routing problem,Multidisciplinary Digital Publishing Institute (MDPI),Article,Scopus,mcahaco a multicriteria adaptive hybrid ant colony optimization for lastmile delivery vehicle routing,10.3390/s26020401,True,True,True,VRP T2,Human T2,Heur T1
"Tluli, R.; Badawy, A.; Salem, S.; Hardan, M.; Chauhan, S.; Alinier, G.","Tluli, Reem Bassam (59228381500); Badawy, Ahmed (55925508200); Salem, Saeed M. (8919065500); Hardan, Muhammad S. (28567607800); Chauhan, Sailesh (58088736700); Alinier, Guillaume (6506887966)",59228381500; 55925508200; 8919065500; 28567607800; 58088736700; 6506887966,A Dynamic Redeployment System for Critical Care Paramedic Units in Qatar Utilizing Deep Reinforcement Learning,2026,IEEE Open Journal of Intelligent Transportation Systems,7,,,93,109,0,10.1109/OJITS.2025.3642001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024425846&doi=10.1109%2FOJITS.2025.3642001&partnerID=40&md5=6277cb5f86d0145ff50dc790241477ae,"Computer Science and Engineering Department, College of Engineering, Qatar University, Doha, Qatar; Ambulance Service, Hamad Medical Corporation, Doha, Qatar","Tluli, Reem Bassam, Computer Science and Engineering Department, College of Engineering, Qatar University, Doha, Qatar; Badawy, Ahmed, Computer Science and Engineering Department, College of Engineering, Qatar University, Doha, Qatar; Salem, Saeed M., Computer Science and Engineering Department, College of Engineering, Qatar University, Doha, Qatar; Hardan, Muhammad S., Ambulance Service, Hamad Medical Corporation, Doha, Qatar; Chauhan, Sailesh, Ambulance Service, Hamad Medical Corporation, Doha, Qatar; Alinier, Guillaume, Ambulance Service, Hamad Medical Corporation, Doha, Qatar",ambulance dispatch; decision making; deep learning; Emergency medical services; healthcare systems; intelligent transportation systems; optimization; reinforcement learning; resource allocation; vehicle routing,Institute of Electrical and Electronics Engineers Inc.,Article,Scopus,a dynamic redeployment system for critical care paramedic units in qatar utilizing deep reinforcement learning,10.1109/ojits.2025.3642001,True,True,True,VRP T2,Human T3,Heur T2
"Danash, K.; Harb, H.; Issa, H.","Danash, Kassem (56525245300); Harb, Hassan (56405343700); Issa, H. O. (25122378800)",56525245300; 56405343700; 25122378800,A hyper-heuristic optimization and communication framework for sustainable agricultural decision-making: A case study on Lebanese farms,2025,Journal of Agriculture and Food Research,24,,102522,,,0,10.1016/j.jafr.2025.102522,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021855372&doi=10.1016%2Fj.jafr.2025.102522&partnerID=40&md5=db84651ca39a16e351c86e5058787c1e,"Basic and Applied Sciences Research Center, Al Maaref University, Beirut, Lebanon; College of Engineering and Technology, American University of the Middle East, Al Ahmadi, Kuwait; Beirut Arab University, Faculty of Engineering, Beirut, Lebanon","Danash, Kassem, Basic and Applied Sciences Research Center, Al Maaref University, Beirut, Lebanon; Harb, Hassan, College of Engineering and Technology, American University of the Middle East, Al Ahmadi, Kuwait; Issa, H. O., Beirut Arab University, Faculty of Engineering, Beirut, Lebanon",Agricultural optimization; Artificial intelligence; Combinatorial optimization; Hyper-heuristic; Irrigation scheduling; Supply chain logistics,Elsevier B.V.,Article,Scopus,a hyperheuristic optimization and communication framework for sustainable agricultural decisionmaking a case study on lebanese farms,10.1016/j.jafr.2025.102522,True,True,True,VRP T3,Other,Heur T1
"Shahbazian, R.; Ciacco, A.; Macrina, G.; Guerriero, F.","Shahbazian, Reza (56054377000); Ciacco, Alessia (59670069700); Macrina, Giusy (57197731238); Guerriero, Francesca (6603690658)",56054377000; 59670069700; 57197731238; 6603690658,Knowledge-guided hybrid deep reinforcement learning for the dynamic multi-depot electric vehicle routing problem,2025,Computers and Operations Research,184,,107217,,,3,10.1016/j.cor.2025.107217,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011991132&doi=10.1016%2Fj.cor.2025.107217&partnerID=40&md5=28df9939fa905a9303bf0e7e61c78c3c,"Department of Mechanics, Università della Calabria, Rende, CS, Italy","Shahbazian, Reza, Department of Mechanics, Università della Calabria, Rende, CS, Italy; Ciacco, Alessia, Department of Mechanics, Università della Calabria, Rende, CS, Italy; Macrina, Giusy, Department of Mechanics, Università della Calabria, Rende, CS, Italy; Guerriero, Francesca, Department of Mechanics, Università della Calabria, Rende, CS, Italy",Deep learning; Knowledge-guided learning; Reinforcement learning; Variable neighborhood search; Vehicle routing problem,Elsevier Ltd,Article,Scopus,knowledgeguided hybrid deep reinforcement learning for the dynamic multidepot electric vehicle routing problem,10.1016/j.cor.2025.107217,True,True,True,VRP T2,Human T2,Heur T2
"Guan, Q.; Xue, S.; Tan, J.; Jia, L.; Cao, H.; Chen, B.","Guan, Qingshu (57838314800); Xue, Shuangsi (57211273940); Tan, Junkai (58190536700); Jia, Linxin (35169755300); Cao, Hui (36707150800); Chen, Badong (16177239100)",57838314800; 57211273940; 58190536700; 35169755300; 36707150800; 16177239100,Dynamic embedding-based deep reinforcement learning for heterogeneous capacitated VRPs with unloading time constraints,2025,Expert Systems with Applications,293,,128660,,,4,10.1016/j.eswa.2025.128660,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008645000&doi=10.1016%2Fj.eswa.2025.128660&partnerID=40&md5=b3fd8c43cfd8267dc622b585be68e07c,"School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China; State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Xi'an Jiaotong University, Xi'an, Shaanxi, China; Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, China","Guan, Qingshu, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Xue, Shuangsi, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Tan, Junkai, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Jia, Linxin, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Cao, Hui, School of Electrical Engineering, Xi'an Jiaotong University, Xi'an, Shaanxi, China, State Key Laboratory of Electrical Insulation and Power Equipment, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Chen, Badong, Xi'an Jiaotong University, Xi'an, Shaanxi, China, Institute of Artificial Intelligence and Robotics, Xi'an Jiaotong University, Xi'an, Shaanxi, China",Attention mechanism; Capacitated vehicle routing problem; Decision-making; Deep reinforcement learning; Task scheduling,Elsevier Ltd,Article,Scopus,dynamic embeddingbased deep reinforcement learning for heterogeneous capacitated vrps with unloading time constraints,10.1016/j.eswa.2025.128660,True,True,True,VRP T2,Human T3,Heur T2
"Romero Silva, A.F.; Tabares Pozos, A.; Álvarez-Martínez, D.; Escobar, J.W.","Romero Silva, Andrés Felipe (60024483800); Tabares Pozos, Alejandra (58984858200); Álvarez-Martínez, David (56668661000); Escobar, John Willmer (55250091100)",60024483800; 58984858200; 56668661000; 55250091100,An iterated local search based approach for a real rich vehicle routing problem with time windows,2025,Computers and Industrial Engineering,208,,111422,,,0,10.1016/j.cie.2025.111422,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012240244&doi=10.1016%2Fj.cie.2025.111422&partnerID=40&md5=6f5e26e133ac1e06984bcb5083e13921,"Department of Industrial Engineering, Universidad de Los Andes, Colombia, Bogota, Distrito Capital, Colombia; Department of Industrial Engineering, Universidad de Los Andes, Colombia, Bogota, Distrito Capital, Colombia; Department of Accounting and Finance, Universidad del Valle, Cali, Cali, Valle del Cauca, Colombia","Romero Silva, Andrés Felipe, Department of Industrial Engineering, Universidad de Los Andes, Colombia, Bogota, Distrito Capital, Colombia; Tabares Pozos, Alejandra, Department of Industrial Engineering, Universidad de Los Andes, Colombia, Bogota, Distrito Capital, Colombia; Álvarez-Martínez, David, Department of Industrial Engineering, Universidad de Los Andes, Colombia, Bogota, Distrito Capital, Colombia; Escobar, John Willmer, Department of Accounting and Finance, Universidad del Valle, Cali, Cali, Valle del Cauca, Colombia",Decision support systems; Hybrid algorithm; Iterative local search; Rich vehicle routing problem; Set partitioning,Elsevier Ltd,Article,Scopus,an iterated local search based approach for a real rich vehicle routing problem with time windows,10.1016/j.cie.2025.111422,True,True,True,VRP T2,Human T1,Heur T1
