id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2109101401,David Pisinger|Stefan Røpke,https://openalex.org/A5081910021|https://openalex.org/A5066260940,https://orcid.org/0000-0001-7695-9662|https://orcid.org/0000-0002-6799-9934,DK|DK,University of Copenhagen|University of Copenhagen,https://openalex.org/I124055696|https://openalex.org/I124055696,True|False,,1360,https://openalex.org/I124055696,A general heuristic for vehicle routing problems,https://doi.org/10.1016/j.cor.2005.09.012,,48.8754055,,False,en,False,closed,Computers & Operations Research,https://openalex.org/S173256270,0305-0548,journal,Vehicle Routing Optimization Methods,2005-10-25,2005,article
https://openalex.org/W2116675171,Olli Bräysy|Michel Gendreau,https://openalex.org/A5014631682|https://openalex.org/A5034438662,|https://orcid.org/0000-0002-9262-3648,FI|CA,University of Jyväskylä|Université de Montréal,https://openalex.org/I94722563|https://openalex.org/I70931966,True|False,,817,https://openalex.org/I94722563,"Vehicle Routing Problem with Time Windows, Part II: Metaheuristics",https://doi.org/10.1287/trsc.1030.0057,,86.15325715,,False,en,False,closed,Transportation Science,https://openalex.org/S130252234,0041-1655,journal,Vehicle Routing Optimization Methods,2005-02-01,2005,article
https://openalex.org/W2158000627,J-F Cordeau|G Laporte|Aurelién Mercier,https://openalex.org/A5059523142|https://openalex.org/A5028816697|https://openalex.org/A5011806017,||https://orcid.org/0000-0003-4332-5879,CA|CA|CA,HEC Montréal|HEC Montréal|HEC Montréal,https://openalex.org/I108192572|https://openalex.org/I108192572|https://openalex.org/I108192572,False|True|True,,882,https://openalex.org/I108192572,A unified tabu search heuristic for vehicle routing problems with time windows,https://doi.org/10.1057/palgrave.jors.2601163,,41.13460202,,False,en,False,closed,Journal of the Operational Research Society,https://openalex.org/S169988927,0160-5682,journal,Vehicle Routing Optimization Methods,2001-08-01,2001,article
https://openalex.org/W2084977713,Éric D. Taillard|Philippe Badeau|Michel Gendreau|François Guertin|Jean‐Yves Potvin,https://openalex.org/A5071782451|https://openalex.org/A5040641792|https://openalex.org/A5034438662|https://openalex.org/A5108520844|https://openalex.org/A5029193256,||https://orcid.org/0000-0002-9262-3648||https://orcid.org/0000-0003-0210-4033,CH|FR|CA|CA|CA,Dalle Molle Institute for Artificial Intelligence Research|Université Clermont Auvergne|Université de Montréal|Université de Montréal|Université de Montréal,https://openalex.org/I2614128279|https://openalex.org/I198244214|https://openalex.org/I70931966|https://openalex.org/I70931966|https://openalex.org/I70931966,True|False|False|False|False,,924,https://openalex.org/I2614128279,A Tabu Search Heuristic for the Vehicle Routing Problem with Soft Time Windows,https://doi.org/10.1287/trsc.31.2.170,,37.16700601,,False,en,True,green,Transportation Science,https://openalex.org/S130252234,0041-1655,journal,Vehicle Routing Optimization Methods,1997-05-01,1997,article
https://openalex.org/W1975828823,Jean-Fran�ois Cordeau|Michel Gendreau|Gilbert Laporte,https://openalex.org/A5008962425|https://openalex.org/A5034438662|https://openalex.org/A5076313841,|https://orcid.org/0000-0002-9262-3648|https://orcid.org/0000-0003-0869-1507,CA|CA|CA,Université de Montréal|Université de Montréal|Université de Montréal,https://openalex.org/I70931966|https://openalex.org/I70931966|https://openalex.org/I70931966,False|False|True,,821,https://openalex.org/I70931966,A tabu search heuristic for periodic and multi-depot vehicle routing problems,https://doi.org/10.1002/(sici)1097-0037(199709)30:2<105::aid-net5>3.0.co;2-g,,5.63136455,,False,en,False,closed,Networks,https://openalex.org/S191798613,0028-3045,journal,Vehicle Routing Optimization Methods,1997-09-01,1997,article
https://openalex.org/W2098156747,Chryssi Malandraki|Mark S. Daskin,https://openalex.org/A5015900875|https://openalex.org/A5037493221,|https://orcid.org/0000-0001-5509-2588,|US,|Northwestern University,|https://openalex.org/I111979921,True|False,,528,,"Time Dependent Vehicle Routing Problems: Formulations, Properties and Heuristic Algorithms",https://doi.org/10.1287/trsc.26.3.185,,3.96612379,,False,en,False,closed,Transportation Science,https://openalex.org/S130252234,0041-1655,journal,Vehicle Routing Optimization Methods,1992-08-01,1992,article
https://openalex.org/W2166484956,Stefan Røpke|David Pisinger,https://openalex.org/A5066260940|https://openalex.org/A5081910021,https://orcid.org/0000-0002-6799-9934|https://orcid.org/0000-0001-7695-9662,DK|DK,University of Copenhagen|University of Copenhagen,https://openalex.org/I124055696|https://openalex.org/I124055696,True|False,,445,https://openalex.org/I124055696,A unified heuristic for a large class of Vehicle Routing Problems with Backhauls,https://doi.org/10.1016/j.ejor.2004.09.004,,13.99273591,,False,en,False,closed,European Journal of Operational Research,https://openalex.org/S103321696,0377-2217,journal,Vehicle Routing Optimization Methods,2004-12-15,2004,article
https://openalex.org/W2927378423,David Sacramento|David Pisinger|Stefan Røpke,https://openalex.org/A5041840487|https://openalex.org/A5081910021|https://openalex.org/A5066260940,https://orcid.org/0000-0002-2155-2942|https://orcid.org/0000-0001-7695-9662|https://orcid.org/0000-0002-6799-9934,DK|DK|DK,Technical University of Denmark|Technical University of Denmark|Technical University of Denmark,https://openalex.org/I96673099|https://openalex.org/I96673099|https://openalex.org/I96673099,True|False|False,,468,https://openalex.org/I96673099,An adaptive large neighborhood search metaheuristic for the vehicle routing problem with drones,https://doi.org/10.1016/j.trc.2019.02.018,,34.0316384,,False,en,False,closed,Transportation Research Part C Emerging Technologies,https://openalex.org/S64511102,0968-090X,journal,Vehicle Routing Optimization Methods,2019-03-22,2019,article
https://openalex.org/W2059810217,Gábor Nagy|Saı̈d Salhi,https://openalex.org/A5101418001|https://openalex.org/A5079252764,https://orcid.org/0000-0002-3085-9620|https://orcid.org/0000-0002-3384-5240,GB|GB,University of Kent|University of Birmingham,https://openalex.org/I20581793|https://openalex.org/I79619799,True|False,,440,https://openalex.org/I20581793,Heuristic algorithms for single and multiple depot vehicle routing problems with pickups and deliveries,https://doi.org/10.1016/j.ejor.2002.11.003,,33.74718661,,False,en,False,closed,European Journal of Operational Research,https://openalex.org/S103321696,0377-2217,journal,Vehicle Routing Optimization Methods,2004-01-27,2004,article
https://openalex.org/W2146004814,Vera Hemmelmayr|Jean‐François Cordeau|Teodor Gabriel Crainic,https://openalex.org/A5003516995|https://openalex.org/A5016828932|https://openalex.org/A5041183626,https://orcid.org/0000-0002-6086-1019|https://orcid.org/0000-0002-4963-1298|https://orcid.org/0000-0002-4424-0984,AT|CA|CA|CA,Transport Canada|Vienna University of Economics and Business|Transport Canada|HEC Montréal|Université du Québec à Montréal|Transport Canada,https://openalex.org/I1334704838|https://openalex.org/I102248843|https://openalex.org/I1334704838|https://openalex.org/I108192572|https://openalex.org/I159129438|https://openalex.org/I1334704838,True|False|False,cc-by-nc-nd,495,https://openalex.org/I102248843|https://openalex.org/I1334704838,An adaptive large neighborhood search heuristic for Two-Echelon Vehicle Routing Problems arising in city logistics,https://doi.org/10.1016/j.cor.2012.04.007,Natural Sciences and Engineering Research Council of Canada,50.43786964,https://pubmed.ncbi.nlm.nih.gov/23483764,False,en,True,hybrid,Computers & Operations Research,https://openalex.org/S173256270,0305-0548,journal,Vehicle Routing Optimization Methods,2012-04-27,2012,article
