Publication Year,,,Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,
name,count,,name,count,,name,count,,name,count,,name,count,
2023,16,,true,59,,Vehicle Routing Optimization Methods,48,,Shandong University of Finance and Economics,8,,article,97,
2024,11,,false,57,,Facility Location and Emergency Management,13,,Centre National de la Recherche Scientifique,4,,dissertation,11,
2025,11,,,,,Transportation Planning and Optimization,4,,Universitat Oberta de Catalunya,3,,book-chapter,5,
2021,10,,,,,Optimization and Mathematical Programming,4,,Universidad de Granada,3,,book,3,
2020,9,,,,,Scheduling and Optimization Algorithms,3,,University of Tehran,3,,,,
2022,8,,,,,Municipal Solid Waste Management,3,,Sichuan University,3,,,,
2018,7,,,,,Transportation and Mobility Innovations,3,,Dalian University of Technology,3,,,,
2019,7,,,,,Data Management and Algorithms,2,,Dalian Maritime University,3,,,,
2014,5,,,,,Advanced Manufacturing and Logistics Optimization,2,,Southeast University,3,,,,
2010,4,,,,,Supply Chain Resilience and Risk Management,2,,Beihang University,3,,,,
2015,4,,,,,Urban and Freight Transport Logistics,2,,University of Modena and Reggio Emilia,2,,,,
2016,4,,,,,Hermeneutics and Narrative Identity,2,,University of Sfax,2,,,,
2009,3,,,,,Multi-Criteria Decision Making,1,,Université du Québec à Montréal,2,,,,
2011,3,,,,,Energy Efficient Wireless Sensor Networks,1,,Hunan University,2,,,,
2013,3,,,,,Advanced ceramic materials synthesis,1,,Chinese Academy of Sciences,2,,,,
2005,2,,,,,Network Traffic and Congestion Control,1,,Beijing Jiaotong University,2,,,,
2017,2,,,,,Urban Transport and Accessibility,1,,Stellenbosch University,2,,,,
1980,1,,,,,Fire effects on ecosystems,1,,University of Kurdistan,2,,,,
1991,1,,,,,Robotic Path Planning Algorithms,1,,Lanzhou Jiaotong University,2,,,,
1995,1,,,,,Electric Vehicles and Infrastructure,1,,Université de technologie de belfort-montbéliard,2,,,,
2003,1,,,,,Fuzzy Logic and Control Systems,1,,Ferrari (Italy),2,,,,
2006,1,,,,,Advanced Multi-Objective Optimization Algorithms,1,,Universidade Federal de Catalão,2,,,,
2012,1,,,,,Maritime Ports and Logistics,1,,Université du Québec,2,,,,
2026,1,,,,,Traffic Prediction and Management Techniques,1,,Universitat Politècnica de València,2,,,,
,,,,,,Risk and Safety Analysis,1,,Chongqing Jiaotong University,2,,,,
,,,,,,Evacuation and Crowd Dynamics,1,,Singapore Management University,2,,,,
,,,,,,Big Data and Business Intelligence,1,,Eindhoven University of Technology,2,,,,
,,,,,,Machine Learning and Algorithms,1,,KTH Royal Institute of Technology,2,,,,
,,,,,,Vehicle emissions and performance,1,,Polytechnic José Antonio Echeverría,2,,,,
,,,,,,Maritime Transport Emissions and Efficiency,1,,Vienna University of Economics and Business,1,,,,
,,,,,,Optimization and Packing Problems,1,,Thammasat University,1,,,,
,,,,,,Scheduling and Timetabling Solutions,1,,University of Delhi,1,,,,
,,,,,,Legal Education and Practice Innovations,1,,"Islamic Azad University, Tehran",1,,,,
,,,,,,Adaptive Dynamic Programming Control,1,,Jiangnan University,1,,,,
,,,,,,Robotics and Automated Systems,1,,Macau University of Science and Technology,1,,,,
,,,,,,Management and Optimization Techniques,1,,University of Nebraska–Lincoln,1,,,,
,,,,,,Simulation and Modeling Applications,1,,Tongji University,1,,,,
,,,,,,Advanced Research in Systems and Signal Processing,1,,Uppsala University,1,,,,
,,,,,,,,,University of London,1,,,,
,,,,,,,,,Toko University,1,,,,
,,,,,,,,,United Parcel Service (United States),1,,,,
,,,,,,,,,Civil Aviation Administration of China,1,,,,
,,,,,,,,,"Bundesministerium für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",1,,,,
,,,,,,,,,National Development and Reform Commission,1,,,,
,,,,,,,,,Sabancı Üniversitesi,1,,,,
